Time/Node,192.168.240.1,192.168.240.3,192.168.240.4,192.168.240.5,192.168.240.7,192.168.240.10,192.168.240.11,192.168.240.12
Wed Dec 04 16:26:24 ART 2013,6362576,4782684,5314636,5182988,6073700,4511528,4604988,5304652
Wed Dec 04 16:26:28 ART 2013,6363412,5067620,5622408,5182600,6073720,5829600,5407552,8110820
Wed Dec 04 16:26:30 ART 2013,5223932,5219760,5621512,4598192,6092308,5830984,6996712,8111452
Wed Dec 04 16:26:32 ART 2013,5225324,5219760,5621512,4598192,6092308,8432492,7393256,8111452
Wed Dec 04 16:26:34 ART 2013,5453400,5218936,5622448,4599384,6091888,8432628,7392088,7982272
Wed Dec 04 16:26:36 ART 2013,5453948,5277576,4866896,4598212,6374840,8439968,7391868,7982672
Wed Dec 04 16:26:38 ART 2013,5455164,5319924,4866216,4598768,6377040,8729076,7645908,7983216
Wed Dec 04 16:26:40 ART 2013,5454356,5319476,4865372,4598196,6379188,7843388,7645240,8010068
Wed Dec 04 16:26:42 ART 2013,5453832,5494496,4882484,4596048,6529308,7844064,7819192,8325212
Wed Dec 04 16:26:44 ART 2013,5454484,5496020,4881472,4540120,6527960,7882364,7818432,8325872
Wed Dec 04 16:26:46 ART 2013,5453380,5495484,5024060,4528824,6528188,7989068,7818664,8325512
Wed Dec 04 16:26:48 ART 2013,5455276,5607108,5023732,4481080,6592476,7989172,7911420,8344628
Wed Dec 04 16:26:50 ART 2013,5454760,5619244,5050628,4481536,6592848,7989800,7911800,8630992
Wed Dec 04 16:26:52 ART 2013,5555748,5676508,5050420,4453476,6592296,8017968,8047628,8630588
Wed Dec 04 16:26:54 ART 2013,5556024,5676648,5056184,4452816,5116588,8134716,8048028,8629948
Wed Dec 04 16:26:56 ART 2013,5556288,5677344,5055480,4429004,5116748,8134244,8048304,8665280
Wed Dec 04 16:26:58 ART 2013,5556068,5725644,5054532,4429368,5116168,8132348,8047964,8851764
Wed Dec 04 16:27:00 ART 2013,5555956,5726120,5055528,4428948,5116180,8136520,8047540,8851832
Wed Dec 04 16:27:02 ART 2013,5583500,5726168,5054948,4429784,5116584,8156252,8112176,8852808
Wed Dec 04 16:27:04 ART 2013,5583452,5725460,5054688,4429564,5117616,8156572,8112096,8870816
Wed Dec 04 16:27:06 ART 2013,5583228,5774656,5054112,4429892,5116868,8155836,8112276,8969108
Wed Dec 04 16:27:08 ART 2013,5584132,5775636,5055440,4429324,5116368,8157624,8287524,8969284
Wed Dec 04 16:27:10 ART 2013,5626508,5775492,5054728,4429904,5116640,8408348,8286628,8969152
Wed Dec 04 16:27:12 ART 2013,5626812,5852452,5062136,4430004,5116608,8408456,8286860,8968360
Wed Dec 04 16:27:14 ART 2013,5673780,5852816,5060996,4429316,5116012,8408448,8451528,8974784
Wed Dec 04 16:27:16 ART 2013,5673980,5852804,5062596,4429484,5116084,8409500,8452352,9059632
Wed Dec 04 16:27:18 ART 2013,5674540,4354292,5061328,4430872,5117524,8426144,8451868,9059532
Wed Dec 04 16:27:20 ART 2013,5692716,4354860,5108128,4431240,5115528,8470668,8458412,9059996
Wed Dec 04 16:27:22 ART 2013,5692924,4354420,5107864,4431188,5116904,8470432,8458292,9060548
Wed Dec 04 16:27:24 ART 2013,5694252,4354744,5108424,4431628,5116436,8469684,8458132,9061024
Wed Dec 04 16:27:26 ART 2013,5693656,4354552,5107972,4431272,5116624,8470068,8458312,9063216
Wed Dec 04 16:27:28 ART 2013,5694240,4354332,5107656,4431332,5116956,8470640,8458628,9308672
Wed Dec 04 16:27:30 ART 2013,5693360,4354624,5108108,4432068,5116068,8470196,8458324,9308624
Wed Dec 04 16:27:32 ART 2013,5693796,4354316,5107504,4431884,5116316,8470172,8458668,9309008
Wed Dec 04 16:27:34 ART 2013,5694592,4354936,5108136,4431884,5116364,8469752,8458368,9307988
Wed Dec 04 16:27:36 ART 2013,5693632,4354188,5107312,4431776,5116240,8470060,8457688,9308848
Wed Dec 04 16:27:38 ART 2013,5693740,4354184,5108032,4431988,5116456,8469740,8457844,9313340
Wed Dec 04 16:27:40 ART 2013,5693844,4355196,5107136,4431968,5116660,8469188,8482948,9375932
Wed Dec 04 16:27:42 ART 2013,5694232,4353812,5107968,4431752,5116400,8469816,8483212,9376928
Wed Dec 04 16:27:44 ART 2013,5693740,4354044,5107764,4431620,5116476,8470612,8482772,9402136
Wed Dec 04 16:39:47 ART 2013,2588276,1695992,1826128,1817708,2166608,2278108,2359448,2311176
Wed Dec 04 16:39:49 ART 2013,2590888,1706476,1838272,1828664,2180252,2284732,2385424,2313664
Wed Dec 04 16:39:51 ART 2013,3463832,1975696,2152616,2797124,3110388,3300032,3187380,2797356
Wed Dec 04 16:39:53 ART 2013,3603328,2524180,2818048,2797372,3110920,3307556,3206928,3000348
Wed Dec 04 16:39:55 ART 2013,3610092,2524096,2817604,2796948,3111600,3430884,3313172,3058264
Wed Dec 04 16:39:57 ART 2013,3763548,2591292,2942388,2800508,3111824,3408748,3314360,3224212
Wed Dec 04 16:39:59 ART 2013,3768260,2591524,2943060,2865344,3111212,3599996,3381620,3224432
Wed Dec 04 16:40:01 ART 2013,3768528,2591652,2942540,2864868,3111504,3790532,3381712,3224296
Wed Dec 04 16:40:03 ART 2013,3865580,2591848,2942496,2865112,3111468,4266128,3382160,3224512
Wed Dec 04 16:40:05 ART 2013,3621552,2591440,3056144,2864868,2758520,4562044,3259732,3312672
Wed Dec 04 16:40:07 ART 2013,3625744,2572796,2914400,2973556,2852100,4563320,3263208,3415496
Wed Dec 04 16:40:09 ART 2013,3774708,2642028,2917304,2950876,3008664,4571980,3473680,3419692
Wed Dec 04 16:40:11 ART 2013,3830144,2819332,3079280,3103048,3365476,4613408,3474464,3673408
Wed Dec 04 16:40:13 ART 2013,3831716,2842712,3168664,3142964,3480904,4908764,3495664,3673964
Wed Dec 04 16:40:15 ART 2013,4214904,3055616,3168816,3471940,3946888,4908744,3740632,3719616
Wed Dec 04 16:40:17 ART 2013,4971728,3933444,4110964,3812668,4490704,4919820,3744928,3720764
Wed Dec 04 16:40:19 ART 2013,5535860,4480488,4974380,5067220,5057436,5331156,3746472,4137120
Wed Dec 04 16:40:21 ART 2013,5557516,5254100,5759508,5535264,5663544,6143696,4645460,4406032
Wed Dec 04 16:40:24 ART 2013,6472788,5819272,4771156,5536096,5907104,6145896,5779228,6078980
Wed Dec 04 16:40:29 ART 2013,5336852,5820324,4771156,5536096,5906432,6145896,7767408,6512456
Wed Dec 04 16:40:31 ART 2013,5336672,5820508,4772284,5588588,6050324,10283268,7767780,6513708
Wed Dec 04 16:40:33 ART 2013,5397280,5822932,4771780,5587504,6050400,10283152,6936404,5573688
Wed Dec 04 16:40:35 ART 2013,5397524,5977752,4969180,5787904,6051296,10284048,6937000,5573876
Wed Dec 04 16:40:37 ART 2013,5396788,5978976,4968648,5791956,6052636,10284864,7074304,5574368
Wed Dec 04 16:40:39 ART 2013,5397732,5979388,4969856,5791232,6051824,10284428,7301060,5575436
Wed Dec 04 16:40:41 ART 2013,5397404,6175688,4969496,5851560,6052008,10284024,7301352,5575372
Wed Dec 04 16:40:43 ART 2013,5398176,6176612,5029908,5850844,6085716,10283724,7484824,5575500
Wed Dec 04 16:40:45 ART 2013,5398020,6206448,5030600,5850844,6243276,10285428,7486320,5575860
